Date,Close/Last,Volume,Open,High,Low
01/16/2020,$14.1631,5796410,$14.087,$14.1826,$14.0812
01/15/2020,$13.9642,5429545,$13.9642,$14.0649,$13.9349
01/14/2020,$14.1338,9704780,$14.2255,$14.2275,$14.0441
01/13/2020,$13.972,6361390,$13.9232,$13.9837,$13.8627
01/10/2020,$13.8198,5602425,$13.9369,$13.9369,$13.7964
01/09/2020,$13.853,11894825,$13.9252,$13.9759,$13.7672
01/08/2020,$13.7418,8201185,$13.8081,$13.8705,$13.7243
01/07/2020,$13.6911,6585940,$13.7516,$13.7652,$13.6151
01/06/2020,$13.4785,3777375,$13.3108,$13.4961,$13.305
01/03/2020,$13.2777,2593260,$13.3596,$13.3888,$13.2543
01/02/2020,$13.4688,4284180,$13.3206,$13.4688,$13.3167
12/31/2019,$13.2621,2748910,$13.2074,$13.2669,$13.1665
12/30/2019,$13.2074,4969325,$13.2191,$13.2211,$13.1158
12/27/2019,$13.2191,1755590,$13.2679,$13.2816,$13.2094
12/26/2019,$13.266,2590305,$13.2621,$13.2679,$13.2328
12/24/2019,$13.2152,1322315,$13.2582,$13.2621,$13.2152
12/23/2019,$13.2777,3007165,$13.225,$13.2952,$13.184
12/20/2019,$13.2426,7971830,$13.1138,$13.2445,$13.0514
12/19/2019,$13.2386,3350495,$13.2738,$13.303,$13.2269
12/18/2019,$13.2035,2790200,$13.2289,$13.2445,$13.145
12/17/2019,$13.2113,3737760,$13.2699,$13.2796,$13.2026
12/16/2019,$13.3108,5547155,$13.3011,$13.3537,$13.2621
12/13/2019,$13.1782,5097100,$13.145,$13.2211,$13.106
12/12/2019,$13.1294,5761395,$13.0514,$13.1431,$13.0331
12/11/2019,$12.9773,6876070,$12.9656,$12.9793,$12.911
12/10/2019,$12.9325,4364500,$12.9832,$13.0082,$12.8798
12/09/2019,$12.8583,6729835,$12.7959,$12.9305,$12.7959
12/06/2019,$12.7335,5152455,$12.7433,$12.7686,$12.7062
12/05/2019,$12.716,5782020,$12.7082,$12.7335,$12.638
12/04/2019,$12.7335,5625420,$12.7296,$12.7862,$12.6935
12/03/2019,$12.597,8253100,$12.5599,$12.6048,$12.4644
12/02/2019,$12.3415,7603190,$12.3766,$12.3961,$12.2264
